"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"144","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2000,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"145","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2014,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"146","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2001,75000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"147","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2003,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"148","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2003,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"149","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2004,75000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"150","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2005,75000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"151","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2001,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"152","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2020,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"153","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2007,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"154","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2009,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"155","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2010,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"156","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2018,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"157","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2013,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"158","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2001,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"159","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2015,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"160","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2016,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"161","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2017,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"162","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2017,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"163","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2000,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"164","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2006,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"165","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2006,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"166","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2020,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"167","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2008,350000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"168","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2009,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"169","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2012,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"170","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2000,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"171","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2014,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"172","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2014,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"173","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2002,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"174","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2016,800,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"175","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2004,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"176","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2005,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"177","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2019,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"178","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2019,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"179","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2013,28500,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"180","Amaryllidaceae","Galanthus elwesii","Liliales","CH","NL",2013,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"181","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2018,0,"NT","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
